日期,客户编码,客户名称,产品编码,产品名称,送量,退量,销量,金额
2014/9/1,1010826,世纪联华---体育场店,10203,曼可顿特选系列粗粮吐司面包(400g),20,0,20,120
2014/9/1,1010826,世纪联华---体育场店,10263,曼可顿超醇面包(400g),20,0,20,149.2
2014/9/1,1010826,世纪联华---体育场店,10351,曼可顿手撕包-原味(120g),5,5,0,0
2014/9/1,1010826,世纪联华---体育场店,10400,曼可顿强化营养面包（甜味）(310g),20,0,20,98
2014/9/1,1010826,世纪联华---体育场店,10402,曼可顿强化营养面包（全麦）(310g),20,0,20,100
2014/9/1,1010826,世纪联华---体育场店,10409,曼可顿大理石面包-巧克力味(70g),3,3,0,0
2014/9/1,1010826,世纪联华---体育场店,10410,曼可顿大理石面包-奶黄味(70g),3,3,0,0
2014/9/1,1010858,农工商---NO.金山,5,曼可顿牛奶三文治面包-蜂蜜口味(350g),3,0,3,18.9
2014/9/1,1010858,农工商---NO.金山,6,曼可顿牛奶三文治面包-芝士口味(350g),5,0,5,31.5
2014/9/1,1010858,农工商---NO.金山,10156,曼可顿美味方经典红豆面包(125g),3,3,0,0
2014/9/1,1010858,农工商---NO.金山,10164,曼可顿美味方纯软心巧克力面包(125g),3,2,1,3.5
2014/9/1,1010858,农工商---NO.金山,10172,曼可顿特选系列经典白面包(400g),0,2,-2,-11.8
2014/9/1,1010858,农工商---NO.金山,10226,曼可顿皇冠面包-奶皇味(200g),1,0,1,8
2014/9/1,1010858,农工商---NO.金山,10257,曼可顿皇冠面包-花生酱味(200g),1,0,1,8
2014/9/1,1010858,农工商---NO.金山,10263,曼可顿超醇面包(400g),3,0,3,23.88
2014/9/1,1010858,农工商---NO.金山,10400,曼可顿强化营养面包（甜味）(310g),1,0,1,4.9
2014/9/1,1010968,乐购---锦绣店,5,曼可顿牛奶三文治面包-蜂蜜口味(350g),33,0,33,207.9
2014/9/1,1010968,乐购---锦绣店,6,曼可顿牛奶三文治面包-芝士口味(350g),27,0,27,170.1
2014/9/1,1010968,乐购---锦绣店,10155,曼可顿美味方香橙提子面包(125g),28,0,28,98
2014/9/1,1010968,乐购---锦绣店,10156,曼可顿美味方经典红豆面包(125g),17,0,17,59.5
2014/9/1,1010968,乐购---锦绣店,10172,曼可顿特选系列经典白面包(400g),6,0,6,35.4
2014/9/1,1010968,乐购---锦绣店,10175,曼可顿黄金堡法式软丝面包,12,0,12,97.2
2014/9/1,1010968,乐购---锦绣店,10193,曼可顿阳光蛋糕-香醇蛋奶味(189g),7,0,7,56
2014/9/1,1010968,乐购---锦绣店,10203,曼可顿特选系列粗粮吐司面包(400g),12,0,12,75.6
2014/9/1,1010968,乐购---锦绣店,10216,曼可顿红豆面包(136g),6,0,6,21.6
2014/9/1,1010968,乐购---锦绣店,10226,曼可顿皇冠面包-奶皇味(200g),7,0,7,56
2014/9/1,1010968,乐购---锦绣店,10231,曼可顿黄金蛋糕-原味(170g),6,0,6,44.4
2014/9/1,1010968,乐购---锦绣店,10263,曼可顿超醇面包(400g),64,0,64,509.44
2014/9/1,1010968,乐购---锦绣店,10400,曼可顿强化营养面包（甜味）(310g),54,0,54,264.6
2014/9/1,1010968,乐购---锦绣店,10401,曼可顿强化营养面包（咸味）(310g),33,0,33,161.7
2014/9/1,1010968,乐购---锦绣店,10402,曼可顿强化营养面包（全麦）(310g),48,0,48,240
2014/9/1,1011315,农工商---NO116,5,曼可顿牛奶三文治面包-蜂蜜口味(350g),6,0,6,37.8
2014/9/1,1011315,农工商---NO116,6,曼可顿牛奶三文治面包-芝士口味(350g),5,0,5,31.5
2014/9/1,1011315,农工商---NO116,10156,曼可顿美味方经典红豆面包(125g),4,0,4,14
2014/9/1,1011315,农工商---NO116,10172,曼可顿特选系列经典白面包(400g),2,0,2,11.8
2014/9/1,1011315,农工商---NO116,10175,曼可顿黄金堡法式软丝面包,1,0,1,8.1
2014/9/1,1011315,农工商---NO116,10203,曼可顿特选系列粗粮吐司面包(400g),4,0,4,25.2
2014/9/1,1011315,农工商---NO116,10231,曼可顿黄金蛋糕-原味(170g),2,0,2,14.8
2014/9/1,1011315,农工商---NO116,10256,曼可顿黄金蛋糕-巧克力口味(170g),2,1,1,7.6
2014/9/1,1011315,农工商---NO116,10263,曼可顿超醇面包(400g),3,0,3,23.88
2014/9/1,1011315,农工商---NO116,10333,曼可顿手撕包（65g）,5,0,5,11.9
2014/9/1,1011906,欧尚---闵行店,5,曼可顿牛奶三文治面包-蜂蜜口味(350g),30,0,30,189
2014/9/1,1011906,欧尚---闵行店,6,曼可顿牛奶三文治面包-芝士口味(350g),15,0,15,94.5
2014/9/1,1011906,欧尚---闵行店,325,曼可顿芝麻仔汉堡面包(285g),15,0,15,64.5
2014/9/1,1011906,欧尚---闵行店,10129,曼可顿全麦高纤维面包(250g),6,0,6,33
2014/9/1,1011906,欧尚---闵行店,10156,曼可顿美味方经典红豆面包(125g),9,0,9,29.7
2014/9/1,1011906,欧尚---闵行店,10164,曼可顿美味方纯软心巧克力面包(125g),13,0,13,42.9
2014/9/1,1011906,欧尚---闵行店,10172,曼可顿特选系列经典白面包(400g),6,0,6,35.4
2014/9/1,1011906,欧尚---闵行店,10175,曼可顿黄金堡法式软丝面包,8,0,8,64.8
2014/9/1,1011906,欧尚---闵行店,10191,曼可顿红豆面包(68g),28,0,28,47.6
2014/9/1,1011906,欧尚---闵行店,10203,曼可顿特选系列粗粮吐司面包(400g),12,0,12,75.6
2014/9/1,1011906,欧尚---闵行店,10226,曼可顿皇冠面包-奶皇味(200g),8,0,8,57.6
2014/9/1,1011906,欧尚---闵行店,10257,曼可顿皇冠面包-花生酱味(200g),6,0,6,43.2
2014/9/1,1011906,欧尚---闵行店,10263,曼可顿超醇面包(400g),45,0,45,335.7
2014/9/1,1011906,欧尚---闵行店,10278,曼可顿黄金堡法式软丝面包-奶香芝麻味(300g),2,0,2,15.4
2014/9/1,1011906,欧尚---闵行店,10326,曼可顿奶黄软餐包（210g）,2,0,2,10.72
2014/9/1,1011906,欧尚---闵行店,10333,曼可顿手撕包（65g）,7,0,7,16.66
2014/9/1,1011906,欧尚---闵行店,10351,曼可顿手撕包-原味(120g),10,0,10,39
2014/9/1,1011906,欧尚---闵行店,10400,曼可顿强化营养面包（甜味）(310g),20,0,20,92
2014/9/1,1011906,欧尚---闵行店,10401,曼可顿强化营养面包（咸味）(310g),20,0,20,92
2014/9/1,1011906,欧尚---闵行店,10402,曼可顿强化营养面包（全麦）(310g),23,0,23,115
2014/9/1,1011961,KFC--东川,351,4寸汉堡面包(570g),16,0,16,97.44
2014/9/1,1011961,KFC--东川,352,3.5英寸汉堡面包(470g),16,0,16,93.6
2014/9/1,1011961,KFC--东川,371,长方形汉堡面包(620g),4,0,4,26.8
2014/9/1,1011967,KFC--北门店,351,4寸汉堡面包(570g),20,0,20,121.8
2014/9/1,1011967,KFC--北门店,352,3.5英寸汉堡面包(470g),24,0,24,140.4
2014/9/1,1011967,KFC--北门店,371,长方形汉堡面包(620g),16,0,16,107.2
2014/9/1,1011967,KFC--北门店,10295,燕麦恰巴达面包(620g）,4,0,4,26.52
2014/9/1,1011972,KFC---莘庄店,351,4寸汉堡面包(570g),40,0,40,243.6
2014/9/1,1011972,KFC---莘庄店,352,3.5英寸汉堡面包(470g),48,0,48,280.8
2014/9/1,1011972,KFC---莘庄店,371,长方形汉堡面包(620g),12,0,12,80.4
2014/9/1,1011974,KFC---松江店,351,4寸汉堡面包(570g),56,0,56,341.04
2014/9/1,1011974,KFC---松江店,352,3.5英寸汉堡面包(470g),44,0,44,257.4
2014/9/1,1011974,KFC---松江店,371,长方形汉堡面包(620g),32,0,32,214.4
2014/9/1,1011974,KFC---松江店,10295,燕麦恰巴达面包(620g）,4,0,4,26.52
2014/9/1,1011983,KFC---方舟,351,4寸汉堡面包(570g),20,0,20,121.8
2014/9/1,1011983,KFC---方舟,352,3.5英寸汉堡面包(470g),24,0,24,140.4
2014/9/1,1011983,KFC---方舟,371,长方形汉堡面包(620g),8,0,8,53.6
2014/9/1,1011983,KFC---方舟,10295,燕麦恰巴达面包(620g）,4,0,4,26.52
2014/9/1,1011987,KFC---博文店,351,4寸汉堡面包(570g),20,0,20,121.8
2014/9/1,1011987,KFC---博文店,352,3.5英寸汉堡面包(470g),16,0,16,93.6
2014/9/1,1011987,KFC---博文店,371,长方形汉堡面包(620g),12,0,12,80.4
