,2008,2008,2004,2004,2000,2000,2000,1996,1996,1996,1992,1992,1992,1988,1988,1984,1984,1980,1980,1980,1976,1976,1976,1972,1972,1968,1968,1968,1964,1964,1960,1960,1956,1956,1952,1952
,Obama,McCain,Kerry,Bush,Gore,Bush,Nader,Clinton,Dole,Perot,Clinton,Bush,Perot,Dukakis,Bush,Mondale,Reagan,Carter,Reagan,Anderson,Carter,Ford,McCarthy,McGovern,Nixon,Humphrey,Nixon,Wallace,Johnson,Goldwater,Kennedy,Nixon,Stevenson,Eisenhower,Stevenson,Eisenhower
Protestant,47,53,38,62,42,55,3,44,50,6,41,41,18,42,58,39,61,39,54,6,46,53,-,30,70,35,49,16,55,45,38,62,37,63,37,63
Catholic,53,47,52,48,52,46,2,55,35,10,47,35,18,51,49,39,61,46,47,6,57,41,1,48,52,59,33,8,76,24,78,22,51,49,56,44
Attend church weekly,45,55,37,63,41,56,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Attend church monthly,51,49,45,55,47,51,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Attend church seldom/never,62,38,60,40,52,41,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Married,44,56,40,60,40,57,2,44,46,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Not married,65,35,60,40,59,36,3,57,30,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Married men,42,58,39,61,37,59,3,40,47,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Married women,47,53,42,58,41,56,2,47,45,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Unmarried men,63,37,55,45,49,42,5,51,31,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Unmarried women,66,34,64,36,66,31,2,62,28,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
With minor children,51,49,-,-,-,-,-,46,43,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Without minor children,54,46,-,-,-,-,-,51,38,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Prof. and business,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34,66,33,55,10,42,56,1,31,69,34,56,10,54,46,42,58,32,68,36,64
White collar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,53,40,51,9,50,48,2,36,64,41,47,12,57,43,48,52,37,63,40,60
Manual,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,46,54,48,48,5,58,41,1,43,57,50,35,15,71,29,60,40,50,50,55,45
Union family,64,36,67,33,68,31,2,-,-,-,-,-,-,63,37,52,48,50,43,5,63,36,1,46,54,56,29,15,73,27,65,35,57,43,61,39
Veteran,41,59,40,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Military household,47,53,43,57,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gun owner,36,64,35,65,38,59,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Gun non-owner,63,37,56,44,56,41,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
